,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
24,2020-11-13,13:15,Liga 1,Group Stage,Fri,Away,W,2,1,UTC,,,Diego Hernán Morales,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
25,2020-11-19,15:00,Liga 1,Group Stage,Thu,Home,D,1,1,Cantolao,,,Diego Hernán Morales,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
26,2020-11-23,13:15,Liga 1,Group Stage,Mon,Away,L,0,2,Cienciano,,,Diego Hernán Morales,4-2-3-1,3-5-2,Jonathan Zamora,Match Report,
27,2020-11-28,15:30,Liga 1,Group Stage,Sat,Away,D,1,1,Atlético Grau,,,Diego Hernán Morales,4-3-3,4-2-3-1,Edwin Ordóñez,Match Report,
28,2021-03-15,15:30,Liga 1,Group Stage,Mon,Home,W,1,0,Cusco,,,Diego Hernán Morales,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
29,2021-03-22,13:15,Liga 1,Group Stage,Mon,Away,W,1,0,U César Vallejo,,,Diego Hernán Morales,4-2-3-1,5-3-2,Kevin Ortega,Match Report,
30,2021-03-29,15:30,Liga 1,Group Stage,Mon,Home,L,0,3,Sporting Cristal,,,Diego Hernán Morales,4-2-3-1,4-3-3,Víctor Carrillo,Match Report,
31,2021-04-13,15:30,Liga 1,Group Stage,Tue,Away,L,1,2,Binacional,,,Diego Hernán Morales,4-3-3,4-4-2,Kevin Ortega,Match Report,
32,2021-04-24,11:00,Liga 1,Group Stage,Sat,Home,W,1,0,Sport Boys,,,Diego Hernán Morales,4-2-3-1,4-4-2,Jordy Espinoza,Match Report,
33,2021-05-03,11:00,Liga 1,Group Stage,Mon,Away,D,3,3,Sport Huancayo,,,Diego Hernán Morales,4-4-2,4-2-3-1,Luis Seminario,Match Report,
34,2021-05-10,13:00,Liga 1,Group Stage,Mon,Away,L,0,1,Dep Municipal,,,Diego Hernán Morales,4-4-2,4-3-3,Jonathan Zamora,Match Report,
35,2021-05-17,11:00,Liga 1,Group Stage,Mon,Home,L,1,2,UTC,,,,4-2-3-1,4-2-3-1,Jordi Espinoza,Match Report,
36,2021-05-21,15:30,Liga 1,Group Stage,Fri,Away,L,0,2,Alianza Lima,,,Diego Hernán Morales,4-2-3-1,3-5-2,Micke Palomino,Match Report,
37,2021-07-19,11:00,Liga 1,Torneo Clausura,Mon,Away,D,1,1,Binacional,,,Reimond Manco,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
38,2021-07-24,15:30,Liga 1,Torneo Clausura,Sat,Home,D,0,0,Alianza Lima,,,Juan Morales,3-5-2,3-5-2,Augusto Menéndez,Match Report,
39,2021-08-01,11:00,Liga 1,Torneo Clausura,Sun,Away,W,3,2,Cusco,,,Julio Landauri,4-2-3-1,4-3-3,Hibert Villegas,Match Report,
40,2021-08-04,17:00,Liga 1,Torneo Clausura,Wed,Home,W,2,0,Sport Boys,,,Jack Durán,3-1-4-2,4-3-3,Jonathan Zamora,Match Report,
41,2021-08-09,15:30,Liga 1,Torneo Clausura,Mon,Away,L,0,3,Melgar,,,Brian Bernaola,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
42,2021-08-15,11:00,Liga 1,Torneo Clausura,Sun,Home,L,0,3,Cantolao,,,José Canova,3-5-2,4-2-3-1,Hibert Villegas,Match Report,
43,2021-08-19,11:00,Liga 1,Torneo Clausura,Thu,Away,W,2,1,Alianza Atlético,,,Joyce Conde,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
44,2021-08-23,11:00,Liga 1,Torneo Clausura,Mon,Home,D,1,1,USMP,,,Diego Manicero,4-2-3-1,3-4-1-2,Pablo López,Match Report,
45,2021-08-28,13:15,Liga 1,Torneo Clausura,Sat,Away,L,0,1,UTC,,,Jonathan Ávila,4-2-3-1,4-2-3-1,Luis Garay Evia,Match Report,
46,2021-09-11,15:30,Liga 1,Torneo Clausura,Sat,Home,L,0,3,Dep Municipal,,,Edinson Chávez,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
47,2021-09-18,11:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Mannucci,,,Sebastian Cavero,4-4-2,4-2-3-1,Diego Haro,Match Report,
48,2021-09-23,15:30,Liga 1,Torneo Clausura,Thu,Home,L,0,4,Universitario,,,Carlos Neumann,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
49,2021-09-26,18:00,Liga 1,Torneo Clausura,Sun,Home,L,1,2,Sporting Cristal,,,Juan Cámara,5-3-2,4-2-3-1,Jonathan Zamora,Match Report,
50,2021-10-02,10:30,Liga 1,Torneo Clausura,Sat,Away,L,3,4,Sport Huancayo,,,,,,Fernando Legario,Match Report,
51,2021-10-17,13:15,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Cienciano,,,Juan Morales,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
52,2021-10-24,13:15,Liga 1,Torneo Clausura,Sun,Away,L,1,3,U César Vallejo,,,,4-2-3-1,3-4-3,Michael Espinoza,Match Report,
53,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Home,L,1,2,Ayacucho,,,Juan Morales,4-2-3-1,4-3-3,Diego Haro,Match Report,
