,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
57,2022-02-27,11:00,Liga 1,Torneo Apertura,Sun,Home,W,2,1,Carlos Stein,,,Jesús Chávez,4-3-3,4-2-3-1,David Huaman,Match Report,
58,2022-03-05,19:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,U César Vallejo,,,Patricio Álvarez,4-3-3,4-3-3,Piero Maza,Match Report,
59,2022-03-09,19:30,Sudamericana,First stage,Wed,Away,L,0,2,pe Ayacucho,55,,Jesús Chávez,4-2-3-1,3-4-3,Piero Maza,Match Report,Leg 1 of 2
60,2022-03-13,13:15,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Dep Municipal,,,Patricio Álvarez,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
61,2022-03-16,19:30,Sudamericana,First stage,Wed,Home,W,3,2,pe Ayacucho,69,,Jesús Chávez,4-3-3,3-4-3,Ivo Méndez,Match Report,Leg 2 of 2; Ayacucho won
62,2022-03-19,15:30,Liga 1,Torneo Apertura,Sat,Away,L,1,4,Cienciano,,,Renzo Revoredo,4-3-3,4-3-3,Luis Garay Evia,Match Report,
63,2022-04-02,11:00,Liga 1,Torneo Apertura,Sat,Home,L,1,3,Binacional,,,Jesús Chávez,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
64,2022-04-10,15:00,Liga 1,Torneo Apertura,Sun,Away,L,0,3,ADT Tarma,,,Jesús Chávez,4-2-3-1,4-2-3-1,Gean Pierre Barbagelatta,Match Report,
65,2022-04-17,11:00,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Ayacucho,,,Jesús Chávez,4-3-3,4-4-2,Jesús Cartagena,Match Report,
66,2022-04-24,15:30,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Universitario,,,Luis Alberto Ramírez,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
67,2022-05-02,13:15,Liga 1,Torneo Apertura,Mon,Away,W,1,0,Cantolao,,,Jesús Chávez,4-3-3,4-2-3-1,Gean Pierre Barbagelatta,Match Report,
68,2022-05-07,13:15,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Atlético Grau,,,Jesús Chávez,4-3-3,4-2-3-1,Augusto Menéndez,Match Report,
69,2022-05-15,13:15,Liga 1,Torneo Apertura,Sun,Away,W,2,1,Alianza Atlético,,,Luis Alberto Ramírez,4-3-3,4-3-3,Roberto Pérez,Match Report,
70,2022-05-22,13:15,Liga 1,Torneo Apertura,Sun,Home,L,1,4,Mannucci,,,Jesús Chávez,4-3-3,4-4-2,Alejandro Villanueva,Match Report,
71,2022-06-05,13:00,Liga 1,Torneo Apertura,Sun,Away,L,0,3,Sporting Cristal,,,Jesús Chávez,4-3-3,4-2-3-1,Pablo López,Match Report,
72,2022-06-19,11:00,Liga 1,Torneo Apertura,Sun,Home,L,0,1,Melgar,,,Luis Alberto Ramírez,4-5-1,4-2-3-1,Luis Garay Evia,Match Report,
73,2022-07-03,15:00,Liga 1,Torneo Apertura,Sun,Home,L,2,3,Sport Huancayo,,,Luis Alberto Ramírez,4-3-3,5-3-2,Jesús Cartagena,Match Report,
74,2022-07-11,13:00,Liga 1,Torneo Clausura,Mon,Home,W,3,0,UTC,,,Luis Alberto Ramírez,4-3-3,4-3-3,Luis Seminario,Match Report,
75,2022-07-17,13:15,Liga 1,Torneo Clausura,Sun,Away,L,1,3,Alianza Lima,,,Jesús Chávez,4-3-3,4-4-2,Roberto Pérez,Match Report,
76,2022-07-23,13:15,Liga 1,Torneo Clausura,Sat,Home,W,2,0,USMP,,,Luis Alberto Ramírez,4-3-3,4-2-3-1,Pablo López,Match Report,
77,2022-07-27,15:00,Liga 1,Torneo Clausura,Wed,Away,L,2,3,Carlos Stein,,,Luis Alberto Ramírez,4-3-3,4-5-1,Hibert Villegas,Match Report,
78,2022-08-01,13:00,Liga 1,Torneo Clausura,Mon,Home,L,1,2,U César Vallejo,,,Luis Alberto Ramírez,4-1-4-1,3-4-3,Carlos Lozano,Match Report,
79,2022-08-07,13:15,Liga 1,Torneo Clausura,Sun,Away,D,2,2,Dep Municipal,,,Luis Alberto Ramírez,4-3-3,4-3-3,Joel Alarcón,Match Report,
80,2022-08-14,13:15,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Cienciano,,,Luis Alberto Ramírez,4-3-3,4-4-2,Roberto Pérez,Match Report,
81,2022-08-21,18:00,Liga 1,Torneo Clausura,Sun,Away,L,0,3,Binacional,,,Jesús Chávez,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
82,2022-08-26,15:30,Liga 1,Torneo Clausura,Fri,Home,W,2,1,ADT Tarma,,,Jesús Chávez,4-3-3,4-2-3-1,Christian Zegarra,Match Report,
83,2022-09-02,15:30,Liga 1,Torneo Clausura,Fri,Away,D,1,1,Ayacucho,,,Jesús Chávez,4-3-3,4-4-2,Diego Haro,Match Report,
84,2022-09-11,15:45,Liga 1,Torneo Clausura,Sun,Home,L,0,1,Universitario,,,Luis Alberto Ramírez,4-3-3,4-4-2,Roberto Pérez,Match Report,
85,2022-09-18,13:15,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Cantolao,,,Luis Alberto Ramírez,4-3-3,4-2-3-1,Daniel Ureta,Match Report,
86,2022-09-29,13:00,Liga 1,Torneo Clausura,Thu,Away,L,0,3,Atlético Grau,,,,3-4-3,4-2-3-1,Roberto Pérez,Match Report,
87,2022-10-06,13:00,Liga 1,Torneo Clausura,Thu,Home,W,2,0,Alianza Atlético,,100,Alexis Blanco,4-3-3,4-2-3-1,Augusto Menéndez,Match Report,
88,2022-10-09,13:15,Liga 1,Torneo Clausura,Sun,Away,D,0,0,Mannucci,,,Luis Alberto Ramírez,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
89,2022-10-15,15:30,Liga 1,Torneo Clausura,Sat,Home,L,3,5,Sporting Cristal,,,Renzo Revoredo,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
90,2022-10-19,17:15,Liga 1,Torneo Clausura,Wed,Away,L,0,3,Melgar,,,Luis Alberto Ramírez,4-2-3-1,4-2-2-2,Hibert Villegas,Match Report,
91,2022-10-29,15:30,Liga 1,Torneo Clausura,Sat,Away,L,1,3,Sport Huancayo,,,Patricio Álvarez,4-3-3,4-2-3-1,Micke Palomino,Match Report,
92,2023-02-06,13:00,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Unión Comercio,,,Christian Ramos,4-3-3,4-2-3-1,Micke Palomino,Match Report,
93,2023-02-12,16:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Alianza Lima,,,Christian Ramos,4-3-3,4-4-2,Joel Alarcón,Match Report,
94,2023-02-18,15:30,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Mannucci,,,Christian Ramos,4-3-3,4-2-2-2,Luis Seminario,Match Report,
95,2023-03-03,16:00,Liga 1,Torneo Apertura,Fri,Home,D,2,2,Binacional,,,Christian Ramos,4-3-3,4-2-3-1,Jasmani Chambi,Match Report,
96,2023-03-10,15:30,Liga 1,Torneo Apertura,Fri,Away,L,0,1,ADT Tarma,,,Oliver Paz Benítez,4-3-3,4-2-3-1,Wilmer Villanueva,Match Report,
97,2023-03-17,15:30,Liga 1,Torneo Apertura,Fri,Home,W,2,1,Deportivo Garcilaso,,,Oliver Paz Benítez,4-4-2,4-2-3-1,Italo Gonzáles,Match Report,
98,2023-03-26,16:00,Liga 1,Torneo Apertura,Sun,Home,L,0,1,Alianza Atlético,,,Oliver Paz Benítez,4-4-2,4-2-3-1,Joel Alarcón,Match Report,
99,2023-04-02,15:30,Liga 1,Torneo Apertura,Sun,Away,L,0,3,Atlético Grau,,,Oliver Paz Benítez,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
100,2023-04-08,13:00,Liga 1,Torneo Apertura,Sat,Home,L,0,2,Dep Municipal,,,Oliver Paz Benítez,4-2-3-1,4-1-4-1,Jonathan Zamora,Match Report,
101,2023-04-14,16:00,Liga 1,Torneo Apertura,Fri,Away,D,1,1,Sporting Cristal,,,Oliver Paz Benítez,5-4-1,4-3-3,Diego Haro,Match Report,
102,2023-04-29,15:00,Liga 1,Torneo Apertura,Sat,Home,L,0,3,Universitario,,,Oliver Paz Benítez,5-3-2,3-4-1-2,Joel Alarcón,Match Report,
103,2023-05-07,17:30,Liga 1,Torneo Apertura,Sun,Away,L,0,2,U César Vallejo,,,Oliver Paz Benítez,4-2-3-1,4-2-3-1,Victor Cori,Match Report,
104,2023-05-12,15:30,Liga 1,Torneo Apertura,Fri,Away,L,0,2,Melgar,,,Christian Ramos,3-4-3,4-3-3,Roberto Pérez,Match Report,
105,2023-05-16,15:30,Liga 1,Torneo Apertura,Tue,Away,D,0,0,Cantolao,,,Christian Ramos,5-3-2,4-3-3,Daniel Ureta,Match Report,
106,2023-05-22,15:30,Liga 1,Torneo Apertura,Mon,Home,W,3,2,UTC,,,Jesús Barco,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
107,2023-05-27,15:30,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Cusco,,,Jesús Barco,4-3-3,4-2-3-1,Jonathan Zamora,Match Report,
108,2023-06-04,15:30,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Sport Huancayo,,,Christian Ramos,4-3-3,4-2-3-1,Pablo López,Match Report,
109,2023-06-09,19:00,Liga 1,Torneo Apertura,Fri,Away,W,1,0,Cienciano,,,Christian Ramos,4-2-3-1,4-3-3,Jordy Espinoza,Match Report,
110,2023-06-25,13:00,Liga 1,Torneo Clausura,Sun,Away,W,2,1,Alianza Atlético,,,Christian Ramos,4-2-3-1,4-2-3-1,Sebastián Lozano,Match Report,
111,2023-07-04,15:30,Liga 1,Torneo Clausura,Tue,Home,L,0,1,Cantolao,,,Christian Ramos,4-1-4-1,5-3-2,Michael Espinoza,Match Report,
112,2023-07-09,13:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,Unión Comercio,,,Christian Ramos,4-1-4-1,4-2-3-1,Alejandro Villanueva,Match Report,
113,2023-07-16,15:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Alianza Lima,,,Christian Ramos,4-3-3,4-3-3,Diego Haro,Match Report,
114,2023-07-23,15:00,Liga 1,Torneo Clausura,Sun,Away,D,0,0,Mannucci,,,Christian Ramos,4-3-3,4-4-2,Sebastián Lozano,Match Report,
115,2023-07-31,13:00,Liga 1,Torneo Clausura,Mon,Home,L,0,2,Melgar,,,Christian Ramos,4-3-3,3-4-3,Roberto Pérez,Match Report,
116,2023-08-05,15:15,Liga 1,Torneo Clausura,Sat,Away,L,0,4,Binacional,,,Christian Ramos,3-5-1-1,4-2-3-1,Augusto Menéndez,Match Report,
117,2023-08-12,13:00,Liga 1,Torneo Clausura,Sat,Home,D,1,1,ADT Tarma,,,Christian Ramos,4-3-3,4-2-3-1,Fernando Legario,Match Report,
118,2023-08-16,18:00,Liga 1,Torneo Clausura,Wed,Away,L,0,3,Deportivo Garcilaso,,,Christian Ramos,4-3-3,4-2-3-1,Jesús Cartagena,Match Report,
119,2023-08-21,13:00,Liga 1,Torneo Clausura,Mon,Home,D,1,1,Atlético Grau,,,Christian Ramos,4-3-3,4-2-2-2,Edwin Ordóñez,Match Report,
120,2023-08-27,15:00,Liga 1,Torneo Clausura,Sun,Away,W,3,0,Dep Municipal,,,Christian Ramos,4-4-2,4-4-2,Kevin Ortega,Match Report,
121,2023-09-10,15:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Sporting Cristal,,,Christian Ramos,4-3-3,4-3-3,Joel Alarcón,Match Report,
122,2023-09-20,20:30,Liga 1,Torneo Clausura,Wed,Away,L,0,3,Universitario,,,Christian Ramos,4-4-2,3-5-2,Edwin Ordóñez,Match Report,
123,2023-09-24,15:00,Liga 1,Torneo Clausura,Sun,Home,L,0,2,U César Vallejo,,,Christian Ramos,4-3-3,4-2-3-1,Jordy Espinoza,Match Report,
124,2023-09-29,15:00,Liga 1,Torneo Clausura,Fri,Away,D,1,1,UTC,,,Christian Ramos,4-3-3,4-2-3-1,Micke Palomino,Match Report,
125,2023-10-03,15:15,Liga 1,Torneo Clausura,Tue,Home,W,2,1,Cusco,,,Christian Ramos,4-3-3,4-3-3,Michael Espinoza,Match Report,
126,2023-10-22,15:00,Liga 1,Torneo Clausura,Sun,Away,L,0,1,Sport Huancayo,,,Christian Ramos,4-5-1,4-1-4-1,Jordy Espinoza,Match Report,
127,2023-10-28,15:15,Liga 1,Torneo Clausura,Sat,Home,W,2,1,Cienciano,,,Christian Ramos,4-3-3,4-2-3-1,Daniel Ureta,Match Report,
128,2024-01-27,17:30,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Sport Huancayo,,,Werner Schuler,4-4-2,4-1-4-1,,Match Report,
129,2024-02-04,16:00,Liga 1,Torneo Apertura,Sun,Home,L,1,3,Sporting Cristal,,,Werner Schuler,4-4-2,4-2-3-1,,Match Report,
130,2024-02-11,16:00,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Deportivo Garcilaso,,,Juan Morales,4-3-3,4-4-2,,Match Report,
131,2024-02-18,17:00,Liga 1,Torneo Apertura,Sun,Away,L,2,3,Cienciano,,,Juan Morales,5-4-1,4-4-1-1,,Match Report,
132,2024-02-24,15:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Cusco,,,Juan Morales,5-4-1,4-4-2,,Match Report,
133,2024-03-03,15:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,CDC Santa Rosa,,,Juan Morales,5-4-1,4-2-3-1,,Match Report,
134,2024-03-10,15:00,Liga 1,Torneo Apertura,Sun,Home,W,2,0,U César Vallejo,,,Juan Morales,5-4-1,4-4-2,,Match Report,
135,2024-03-14,19:00,Liga 1,Torneo Apertura,Thu,Away,L,0,1,Mannucci,,,Juan Morales,5-3-2,4-2-3-1,,Match Report,
136,2024-03-31,15:00,Liga 1,Torneo Apertura,Sun,Home,D,0,0,Alianza Atlético,,,Juan Morales,5-3-2,4-2-3-1,,Match Report,
137,2024-04-05,14:30,Liga 1,Torneo Apertura,Fri,Away,D,0,0,Atlético Grau,,,Juan Morales,5-4-1,4-2-3-1,,Match Report,
138,2024-04-13,20:00,Liga 1,Torneo Apertura,Sat,Home,L,1,2,Universitario,,,Juan Morales,5-4-1,3-5-2,,Match Report,
139,2024-04-18,20:00,Liga 1,Torneo Apertura,Thu,Away,L,0,3,Alianza Lima,,,Juan Morales,5-3-2,3-5-2,,Match Report,
140,2024-04-27,13:00,Liga 1,Torneo Apertura,Sat,Home,D,0,0,Unión Comercio,,,Juan Morales,4-2-3-1,4-2-3-1,,Match Report,
141,2024-05-05,15:00,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Melgar,,,Juan Morales,4-3-3,4-3-3,,Match Report,
142,2024-05-11,15:00,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Comerciantes Unidos,,,Juan Morales,4-3-3,4-2-3-1,,Match Report,
143,2024-05-20,15:00,Liga 1,Torneo Apertura,Mon,Away,W,4,2,UTC,,,Juan Morales,4-3-3,4-2-3-1,,Match Report,
144,2024-05-26,15:00,Liga 1,Torneo Apertura,Sun,Home,W,1,0,ADT Tarma,,,Juan Morales,4-3-3,3-4-3,,Match Report,
145,2024-07-14,15:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Sport Huancayo,,,Steven Rivadeneyra,4-3-3,4-4-1-1,,Match Report,
146,2024-07-21,15:15,Liga 1,Torneo Clausura,Sun,Away,L,0,4,Sporting Cristal,,,Juan Morales,4-3-3,4-3-3,,Match Report,
147,2024-07-26,18:00,Liga 1,Torneo Clausura,Fri,Away,L,0,2,Deportivo Garcilaso,,,Juan Morales,4-3-3,4-2-3-1,,Match Report,
148,2024-07-30,15:00,Liga 1,Torneo Clausura,Tue,Home,W,2,0,Cienciano,,,Juan Morales,4-4-2◆,5-3-2,,Match Report,
149,2024-08-05,18:00,Liga 1,Torneo Clausura,Mon,Away,L,1,3,Cusco,,,Juan Morales,4-2-3-1,4-2-3-1,,Match Report,
150,2024-08-10,15:00,Liga 1,Torneo Clausura,Sat,Home,W,2,1,CDC Santa Rosa,,,Juan Morales,4-3-1-2,3-4-3,,Match Report,
151,2024-08-16,15:15,Liga 1,Torneo Clausura,Fri,Away,D,2,2,U César Vallejo,,,Juan Morales,4-3-3,4-2-3-1,,Match Report,
152,2024-08-21,13:00,Liga 1,Torneo Clausura,Wed,Home,L,2,6,Mannucci,,,Steven Rivadeneyra,4-3-3,3-4-3,,Match Report,
153,2024-08-24,12:50,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Alianza Atlético,,,Christian Ramos,4-3-3,4-2-3-1,,Match Report,
154,2024-09-14,15:00,Liga 1,Torneo Clausura,Sat,Home,D,0,0,Atlético Grau,,,Christian Ramos,4-4-2,4-4-2,Jesús Cartagena,Match Report,
155,2024-09-18,20:30,Liga 1,Torneo Clausura,Wed,Away,L,0,3,Universitario,,,Juan Morales,4-5-1,3-5-2,Roberto Pérez,Match Report,
156,2024-09-21,20:30,Liga 1,Torneo Clausura,Sat,Home,L,0,3,Alianza Lima,,,Juan Morales,4-4-2◆,5-3-2,Diego Haro,Match Report,
157,2024-09-27,13:00,Liga 1,Torneo Clausura,Fri,Away,W,2,0,Unión Comercio,,,Juan Morales,4-4-2,4-2-3-1,Victor Cori,Match Report,
158,2024-10-18,13:00,Liga 1,Torneo Clausura,Fri,Home,L,0,2,Melgar,,,Juan Morales,4-3-3,4-2-3-1,Micke Palomino,Match Report,
159,2024-10-24,15:00,Liga 1,Torneo Clausura,Thu,Away,D,0,0,Comerciantes Unidos,,,Juan Morales,5-3-2,4-4-2,Julio Quiróz,Match Report,
160,2024-10-27,13:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,UTC,,,Juan Morales,4-4-2,3-4-3,Joel Alarcón,Match Report,
161,2024-11-01,15:00,Liga 1,Torneo Clausura,Fri,Away,L,0,1,ADT Tarma,,,Steven Rivadeneyra,4-4-2,3-4-3,Julio Quiróz,Match Report,
