,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
122,2023-05-15,20:00,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Dep Municipal,,,Josepmir Ballón,4-1-4-1,4-3-3,Edwin Ordóñez,Match Report,
123,2023-05-19,18:30,Liga 1,Torneo Apertura,Fri,Away,L,1,2,Melgar,,,Yordi Vílchez,4-3-3,3-4-1-2,Diego Haro,Match Report,
124,2023-05-23,21:00,Libertadores,Group stage,Tue,Home,L,1,2,py Libertad,55,,Josepmir Ballón,4-5-1,4-3-3,Fernando Rapallini,Match Report,
125,2023-05-28,20:30,Liga 1,Torneo Apertura,Sun,Home,W,6,1,Binacional,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
126,2023-06-02,20:00,Liga 1,Torneo Apertura,Fri,Away,L,1,2,ADT Tarma,,,Pablo Míguez,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
127,2023-06-06,19:00,Libertadores,Group stage,Tue,Home,L,0,1,br Atlético Mineiro,43,"23,554",Josepmir Ballón,4-2-3-1,3-1-4-2,Facundo Tello,Match Report,
128,2023-06-10,20:30,Liga 1,Torneo Apertura,Sat,Home,W,3,2,Deportivo Garcilaso,,,Josepmir Ballón,4-2-3-1,4-3-3,Fernando Legario,Match Report,
129,2023-06-23,20:00,Liga 1,Torneo Clausura,Fri,Home,W,2,0,Atlético Grau,,,Josepmir Ballón,4-3-2-1,4-3-1-2,Roberto Pérez,Match Report,
130,2023-06-27,19:00,Libertadores,Group stage,Tue,Away,L,0,3,br Ath Paranaense,52,"24,467",Josepmir Ballón,4-3-3,3-4-3,Alexis Herrera,Match Report,
131,2023-07-01,20:30,Liga 1,Torneo Clausura,Sat,Away,W,1,0,Dep Municipal,,,Josepmir Ballón,4-3-3,4-4-2,Kevin Ortega,Match Report,
132,2023-07-08,19:00,Liga 1,Torneo Clausura,Sat,Home,D,0,0,Sporting Cristal,,,Josepmir Ballón,4-3-3,4-3-3,Joel Alarcón,Match Report,
133,2023-07-16,15:00,Liga 1,Torneo Clausura,Sun,Away,L,0,1,Sport Boys,,,Josepmir Ballón,4-3-3,4-3-3,Diego Haro,Match Report,
134,2023-07-22,20:30,Liga 1,Torneo Clausura,Sat,Home,D,0,0,Universitario,,,Josepmir Ballón,4-2-3-1,3-4-1-2,Roberto Pérez,Match Report,
135,2023-07-29,20:30,Liga 1,Torneo Clausura,Sat,Away,D,1,1,U César Vallejo,,,Josepmir Ballón,3-4-3,4-4-2,Edwin Ordóñez,Match Report,
136,2023-08-05,20:00,Liga 1,Torneo Clausura,Sat,Home,W,1,0,UTC,,,Josepmir Ballón,3-4-3,4-2-3-1,Jordy Espinoza,Match Report,
137,2023-08-13,15:15,Liga 1,Torneo Clausura,Sun,Away,D,1,1,Cusco,,,Josepmir Ballón,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
138,2023-08-16,20:30,Liga 1,Torneo Clausura,Wed,Home,W,1,0,Sport Huancayo,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
139,2023-08-20,18:00,Liga 1,Torneo Clausura,Sun,Away,D,0,0,Cienciano,,,Josepmir Ballón,4-3-3,3-4-3,Jesús Cartagena,Match Report,
140,2023-08-26,20:30,Liga 1,Torneo Clausura,Sat,Home,W,1,0,Alianza Atlético,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
141,2023-09-09,15:00,Liga 1,Torneo Clausura,Sat,Away,W,2,0,Cantolao,,,Josepmir Ballón,4-2-3-1,4-1-4-1,Jesús Cartagena,Match Report,
142,2023-09-17,18:30,Liga 1,Torneo Clausura,Sun,Home,W,3,1,Unión Comercio,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
143,2023-09-24,17:15,Liga 1,Torneo Clausura,Sun,Away,W,2,1,Mannucci,,,Josepmir Ballón,4-2-3-1,4-4-2,Roberto Pérez,Match Report,
144,2023-09-28,20:30,Liga 1,Torneo Clausura,Thu,Home,D,0,0,Melgar,,,Josepmir Ballón,4-2-3-1,3-4-3,Diego Haro,Match Report,
145,2023-10-03,20:30,Liga 1,Torneo Clausura,Tue,Away,W,2,1,Binacional,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
146,2023-10-21,16:00,Liga 1,Torneo Clausura,Sat,Home,D,0,0,ADT Tarma,,,Josepmir Ballón,4-2-3-1,4-4-2,Roberto Pérez,Match Report,
147,2023-10-29,15:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,Deportivo Garcilaso,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
148,2023-11-04,20:00,Liga 1,Finals,Sat,Away,D,1,1,Universitario,,,Josepmir Ballón,4-3-3,3-5-2,Kevin Ortega,Match Report,Leg 1 of 2
