year,url
2021,https://fbref.com/en/squads/6be8cbbb/2021/Cantolao-Stats
2021,https://fbref.com/en/squads/d4f8af71/2021/Cusco-Stats
2021,https://fbref.com/en/squads/6df8a6d5/2021/Universidad-San-Martin-Stats
2021,https://fbref.com/en/squads/e71b53ba/2021/Alianza-Atletico-Stats
2021,https://fbref.com/en/squads/e5c4db74/2021/Binacional-Stats
2021,https://fbref.com/en/squads/b9ca1839/2021/Alianza-Universidad-Stats
2024,https://fbref.com/en/squads/e4108102/2024/Universitario-Stats
2024,https://fbref.com/en/squads/8917b8a9/2024/Sporting-Cristal-Stats
2024,https://fbref.com/en/squads/87ffd947/2024/Melgar-Stats
2024,https://fbref.com/en/squads/cdbccdc1/2024/Alianza-Lima-Stats
2024,https://fbref.com/en/squads/d4f8af71/2024/Cusco-Stats
2024,https://fbref.com/en/squads/adf57493/2024/Cienciano-Stats
2024,https://fbref.com/en/squads/d1077778/2024/Atletico-Grau-Stats
2024,https://fbref.com/en/squads/78987e91/2024/ADT-Tarma-Stats
2024,https://fbref.com/en/squads/e71b53ba/2024/Alianza-Atletico-Stats
2024,https://fbref.com/en/squads/56762359/2024/CDC-Santa-Rosa-Stats
2024,https://fbref.com/en/squads/d7ba2e36/2024/Sport-Huancayo-Stats
2024,https://fbref.com/en/squads/4271353d/2024/Deportivo-Garcilaso-Stats
2024,https://fbref.com/en/squads/0c2512a2/2024/Sport-Boys-Stats
2024,https://fbref.com/en/squads/59cf5fee/2024/Comerciantes-Unidos-Stats
2024,https://fbref.com/en/squads/afccbca8/2024/Universidad-Tecnica-de-Cajamarca-Stats
2024,https://fbref.com/en/squads/0beae1a9/Carlos-A-Mannucci-Stats
2024,https://fbref.com/en/squads/d1f6a4fe/Universidad-Cesar-Vallejo-Stats
2024,https://fbref.com/en/squads/f4afe835/Union-Comercio-Stats
2015,https://fbref.com/en/squads/8917b8a9/2015/Sporting-Cristal-Stats
2015,https://fbref.com/en/squads/87ffd947/2015/Melgar-Stats
2015,https://fbref.com/en/squads/646f985b/2015/Deportivo-Municipal-Stats
2015,https://fbref.com/en/squads/d4f8af71/2015/Real-Garcilaso-Stats
2015,https://fbref.com/en/squads/cdbccdc1/2015/Alianza-Lima-Stats
2015,https://fbref.com/en/squads/f4afe835/2015/Union-Comercio-Stats
2015,https://fbref.com/en/squads/d1f6a4fe/2015/Universidad-Cesar-Vallejo-Stats
2015,https://fbref.com/en/squads/f32e2ab4/2015/Juan-Aurich-Stats
2015,https://fbref.com/en/squads/d7ba2e36/2015/Sport-Huancayo-Stats
2015,https://fbref.com/en/squads/e71b53ba/2015/Alianza-Atletico-Stats
2015,https://fbref.com/en/squads/adf57493/2015/Cienciano-Stats
2015,https://fbref.com/en/squads/e886512d/Leon-de-Huanuco-Stats
2015,https://fbref.com/en/squads/0f50b090/Sport-Loreto-Stats
2015,https://fbref.com/en/squads/e4108102/2015/Universitario-Stats
2015,https://fbref.com/en/squads/e6b8138d/2015/Ayacucho-Stats
2015,https://fbref.com/en/squads/afccbca8/2015/Universidad-Tecnica-de-Cajamarca-Stats
2015,https://fbref.com/en/squads/6df8a6d5/2015/Universidad-San-Martin-Stats
2022,https://fbref.com/en/squads/8917b8a9/2022/Sporting-Cristal-Stats
2022,https://fbref.com/en/squads/cdbccdc1/2022/Alianza-Lima-Stats
2022,https://fbref.com/en/squads/87ffd947/2022/Melgar-Stats
2022,https://fbref.com/en/squads/d7ba2e36/2022/Sport-Huancayo-Stats
2022,https://fbref.com/en/squads/d1f6a4fe/2022/Universidad-Cesar-Vallejo-Stats
2022,https://fbref.com/en/squads/e4108102/2022/Universitario-Stats
2022,https://fbref.com/en/squads/adf57493/2022/Cienciano-Stats
2022,https://fbref.com/en/squads/e5c4db74/2022/Binacional-Stats
2022,https://fbref.com/en/squads/e71b53ba/2022/Alianza-Atletico-Stats
2022,https://fbref.com/en/squads/d1077778/2022/Atletico-Grau-Stats
2022,https://fbref.com/en/squads/afccbca8/2022/Universidad-Tecnica-de-Cajamarca-Stats
2022,https://fbref.com/en/squads/646f985b/2022/Deportivo-Municipal-Stats
2022,https://fbref.com/en/squads/78987e91/2022/ADT-Tarma-Stats
2022,https://fbref.com/en/squads/0c2512a2/2022/Sport-Boys-Stats
2022,https://fbref.com/en/squads/6be8cbbb/2022/Cantolao-Stats
2022,https://fbref.com/en/squads/0beae1a9/2022/Carlos-A-Mannucci-Stats
2022,https://fbref.com/en/squads/e6b8138d/2022/Ayacucho-Stats
2022,https://fbref.com/en/squads/6df8a6d5/Universidad-San-Martin-Stats
2022,https://fbref.com/en/squads/fb5a807f/Carlos-Stein-Stats
2023,https://fbref.com/en/squads/78987e91/2023/ADT-Tarma-Stats
2023,https://fbref.com/en/squads/e71b53ba/2023/Alianza-Atletico-Stats
2023,https://fbref.com/en/squads/cdbccdc1/2023/Alianza-Lima-Stats
2023,https://fbref.com/en/squads/d1077778/2023/Atletico-Grau-Stats
2023,https://fbref.com/en/squads/e5c4db74/2023/Binacional-Stats
2023,https://fbref.com/en/squads/6be8cbbb/Cantolao-Stats
2023,https://fbref.com/en/squads/adf57493/2023/Cienciano-Stats
2023,https://fbref.com/en/squads/d4f8af71/2023/Cusco-Stats
2023,https://fbref.com/en/squads/646f985b/Deportivo-Municipal-Stats
2023,https://fbref.com/en/squads/4271353d/2023/Deportivo-Garcilaso-Stats
2023,https://fbref.com/en/squads/0beae1a9/2023/Carlos-A-Mannucci-Stats
2023,https://fbref.com/en/squads/87ffd947/2023/Melgar-Stats
2023,https://fbref.com/en/squads/0c2512a2/2023/Sport-Boys-Stats
2023,https://fbref.com/en/squads/d7ba2e36/2023/Sport-Huancayo-Stats
2023,https://fbref.com/en/squads/8917b8a9/2023/Sporting-Cristal-Stats
2023,https://fbref.com/en/squads/d1f6a4fe/2023/Universidad-Cesar-Vallejo-Stats
2023,https://fbref.com/en/squads/f4afe835/2023/Union-Comercio-Stats
2023,https://fbref.com/en/squads/e4108102/2023/Universitario-Stats
2023,https://fbref.com/en/squads/afccbca8/2023/Universidad-Tecnica-de-Cajamarca-Stats
