,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
22,2023-07-30,13:00,Liga 1,Torneo Clausura,Sun,Away,D,1,1,Atlético Grau,,,Diego Penny,3-4-3,4-4-2,Alejandro Villanueva,Match Report,
23,2023-08-07,15:15,Liga 1,Torneo Clausura,Mon,Home,W,5,2,Dep Municipal,,,Diego Penny,4-4-2,4-4-2,Michael Espinoza,Match Report,
24,2023-08-13,13:00,Liga 1,Torneo Clausura,Sun,Away,L,0,3,Sporting Cristal,,,Diego Penny,3-5-2,4-1-4-1,Diego Haro,Match Report,
25,2023-08-16,18:00,Liga 1,Torneo Clausura,Wed,Home,W,3,0,Sport Boys,,,Diego Penny,4-2-3-1,4-3-3,Jesús Cartagena,Match Report,
26,2023-08-19,19:30,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Universitario,,,Diego Penny,4-2-3-1,3-5-2,Michael Espinoza,Match Report,
27,2023-08-28,15:15,Liga 1,Torneo Clausura,Mon,Home,W,1,0,U César Vallejo,,,Diego Penny,4-2-3-1,4-4-1-1,Roberto Pérez,Match Report,
28,2023-09-03,15:15,Liga 1,Torneo Clausura,Sun,Away,D,0,0,UTC,,,Diego Penny,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
29,2023-09-16,16:00,Liga 1,Torneo Clausura,Sat,Home,W,2,1,Cusco,,,Diego Penny,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
30,2023-09-21,13:00,Liga 1,Torneo Clausura,Thu,Away,D,0,0,Sport Huancayo,,,Diego Penny,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
31,2023-09-24,19:30,Liga 1,Torneo Clausura,Sun,Home,L,0,3,Cienciano,,,Diego Penny,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
