,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
96,2022-09-17,13:15,Liga 1,Torneo Clausura,Sat,Away,L,1,2,U César Vallejo,,,Víctor Balta,4-4-2,4-2-3-1,Robin Segura Tuanama,Match Report,
97,2022-09-28,15:30,Liga 1,Torneo Clausura,Wed,Home,W,2,1,Dep Municipal,,,Víctor Balta,4-4-2,4-2-3-1,Hibert Villegas,Match Report,
98,2022-10-04,17:30,Liga 1,Torneo Clausura,Tue,Away,W,1,0,Cienciano,,,Víctor Balta,4-2-3-1,4-4-2,Jesús Cartagena,Match Report,
99,2022-10-10,15:30,Liga 1,Torneo Clausura,Mon,Home,W,1,0,Binacional,,,Víctor Balta,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
100,2022-10-15,13:00,Liga 1,Torneo Clausura,Sat,Away,L,0,1,Alianza Atlético,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
101,2022-10-19,15:00,Liga 1,Torneo Clausura,Wed,Home,L,0,1,Ayacucho,,,Víctor Balta,4-2-3-1,3-4-3,Michael Espinoza,Match Report,
102,2022-10-24,20:00,Liga 1,Torneo Clausura,Mon,Away,L,0,2,Universitario,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
103,2022-10-29,15:30,Liga 1,Torneo Clausura,Sat,Home,W,3,1,Sport Boys,,,Víctor Balta,4-2-3-1,4-3-3,Micke Palomino,Match Report,
104,2023-02-03,15:30,Liga 1,Torneo Apertura,Fri,Away,W,3,0,Cusco,,,,,,Jesús Cartagena,Match Report,Match awarded to Sport Huancayo
105,2023-02-07,19:00,Libertadores,First qualifying stage,Tue,Home,W,2,1,py Nacional,78,,Ricardo Salcedo,3-4-3,4-1-4-1,Nicolás Gamboa,Match Report,Leg 1 of 2
106,2023-02-14,21:00,Libertadores,First qualifying stage,Tue,Away,L,1,3,py Nacional,52,,Ricardo Salcedo,3-4-3,4-1-4-1,Darío Herrera,Match Report,Leg 2 of 2; Nacional won
107,2023-02-18,13:00,Liga 1,Torneo Apertura,Sat,Home,L,1,3,Cienciano,,,Rodrigo Colombo,3-5-2,4-3-3,Edwin Ordóñez,Match Report,
108,2023-02-25,13:00,Liga 1,Torneo Apertura,Sat,Away,L,2,4,Alianza Atlético,,,Víctor Balta,4-2-3-1,4-2-3-1,Pablo López,Match Report,
109,2023-03-04,13:00,Liga 1,Torneo Apertura,Sat,Home,W,4,0,Cantolao,,,Ricardo Salcedo,4-2-3-1,5-4-1,Sebastián Lozano,Match Report,
110,2023-03-12,11:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Unión Comercio,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
111,2023-03-19,18:00,Liga 1,Torneo Apertura,Sun,Home,W,2,1,Alianza Lima,,,Ricardo Salcedo,4-2-3-1,4-4-2,Diego Haro,Match Report,
112,2023-03-25,20:00,Liga 1,Torneo Apertura,Sat,Away,W,2,0,U César Vallejo,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
113,2023-04-02,15:00,Liga 1,Torneo Apertura,Sun,Away,D,0,0,Mannucci,,,Ricardo Salcedo,4-2-3-1,4-3-3,Luis Seminario,Match Report,
114,2023-04-09,15:30,Liga 1,Torneo Apertura,Sun,Home,D,1,1,Melgar,,,Ricardo Salcedo,4-2-3-1,4-3-3,Pablo López,Match Report,
115,2023-04-16,18:00,Liga 1,Torneo Apertura,Sun,Away,L,3,5,Binacional,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
116,2023-04-22,15:30,Liga 1,Torneo Apertura,Sat,Home,L,1,3,ADT Tarma,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Sebastián Lozano,Match Report,
117,2023-04-29,15:30,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Deportivo Garcilaso,,,Víctor Balta,4-2-3-1,4-3-3,Micke Palomino,Match Report,
118,2023-05-06,15:30,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Atlético Grau,,,Ricardo Salcedo,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
119,2023-05-12,13:00,Liga 1,Torneo Apertura,Fri,Home,W,5,1,UTC,,,Ricardo Salcedo,4-1-4-1,3-4-1-2,Fernando Legario,Match Report,
120,2023-05-21,15:00,Liga 1,Torneo Apertura,Sun,Away,W,2,1,Dep Municipal,,,Marcos Lliuya,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
121,2023-05-28,18:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Sporting Cristal,,,Víctor Balta,4-2-3-1,4-3-3,Micke Palomino,Match Report,
122,2023-06-04,15:30,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Sport Boys,,,Víctor Balta,4-2-3-1,4-3-3,Pablo López,Match Report,
123,2023-06-11,18:00,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Universitario,,,Víctor Balta,4-1-4-1,3-4-1-2,Roberto Pérez,Match Report,
124,2023-06-24,15:30,Liga 1,Torneo Clausura,Sat,Home,W,2,0,U César Vallejo,,,Víctor Balta,4-3-3,4-2-3-1,Kevin Ortega,Match Report,
125,2023-06-30,15:30,Liga 1,Torneo Clausura,Fri,Away,D,0,0,UTC,,,,4-2-3-1,4-3-1-2,Micke Palomino,Match Report,
126,2023-07-10,15:15,Liga 1,Torneo Clausura,Mon,Home,W,3,1,Cusco,,,Ricardo Salcedo,4-3-3,4-2-2-2,Diego Haro,Match Report,
127,2023-07-21,19:45,Liga 1,Torneo Clausura,Fri,Away,L,0,1,Cienciano,,,Ricardo Salcedo,4-2-3-1,5-4-1,Jordy Espinoza,Match Report,
128,2023-07-31,15:15,Liga 1,Torneo Clausura,Mon,Home,W,2,0,Alianza Atlético,,,Ricardo Salcedo,4-1-4-1,3-4-3,Micke Palomino,Match Report,
129,2023-08-07,13:00,Liga 1,Torneo Clausura,Mon,Away,D,1,1,Cantolao,,,Ricardo Salcedo,4-1-4-1,5-3-2,Jesús Cartagena,Match Report,
130,2023-08-11,13:00,Liga 1,Torneo Clausura,Fri,Home,D,1,1,Unión Comercio,,,Joel Pinto,4-1-4-1,4-2-3-1,Pablo López,Match Report,
131,2023-08-16,20:30,Liga 1,Torneo Clausura,Wed,Away,L,0,1,Alianza Lima,,,Marcos Lliuya,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
132,2023-08-19,17:45,Liga 1,Torneo Clausura,Sat,Home,W,3,1,Mannucci,,,Ricardo Salcedo,4-1-4-1,4-2-3-1,Diego Haro,Match Report,
133,2023-08-27,15:30,Liga 1,Torneo Clausura,Sun,Away,W,3,1,Melgar,,,Ricardo Salcedo,4-2-3-1,3-4-3,Jesús Cartagena,Match Report,
134,2023-09-03,13:00,Liga 1,Torneo Clausura,Sun,Home,W,3,1,Binacional,,,Ricardo Salcedo,4-4-2,4-3-3,Joel Alarcón,Match Report,
135,2023-09-17,15:00,Liga 1,Torneo Clausura,Sun,Away,L,1,2,ADT Tarma,,,Ricardo Salcedo,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
