,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
73,2024-02-03,15:00,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Cienciano,,,Gu-Rum Choi,4-2-3-1,4-2-3-1,,Match Report,
74,2024-02-11,15:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,CDC Santa Rosa,,,Gu-Rum Choi,3-2-4-1,4-2-3-1,,Match Report,
75,2024-02-17,15:00,Liga 1,Torneo Apertura,Sat,Home,W,4,0,Mannucci,,,Gu-Rum Choi,3-4-1-2,4-2-3-1,,Match Report,
76,2024-02-25,13:45,Liga 1,Torneo Apertura,Sun,Away,D,2,2,Atlético Grau,,,Gu-Rum Choi,3-4-1-2,4-2-3-1,,Match Report,
77,2024-03-01,15:00,Liga 1,Torneo Apertura,Fri,Home,W,2,0,Alianza Lima,,,Gu-Rum Choi,3-4-1-2,3-5-2,,Match Report,
78,2024-03-05,19:30,Sudamericana,First stage,Tue,Away,D,0 (3),0 (4),pe Deportivo Garcilaso,58,"8,413",Gu-Rum Choi,3-4-1-2,4-3-3,,Match Report,Deportivo Garcilaso won on penalty kicks following extra time
79,2024-03-09,15:30,Liga 1,Torneo Apertura,Sat,Away,L,1,3,Melgar,,,Gu-Rum Choi,3-4-1-2,4-2-3-1,,Match Report,
80,2024-03-16,15:00,Liga 1,Torneo Apertura,Sat,Home,W,2,1,UTC,,,Gu-Rum Choi,3-4-1-2,3-4-3,,Match Report,
81,2024-03-31,13:00,Liga 1,Torneo Apertura,Sun,Away,W,2,0,Sport Huancayo,,,Gu-Rum Choi,3-4-1-2,4-1-4-1,,Match Report,
82,2024-04-07,13:00,Liga 1,Torneo Apertura,Sun,Home,D,2,2,Deportivo Garcilaso,,,Gu-Rum Choi,3-4-1-2,3-5-2,,Match Report,
83,2024-04-14,17:00,Liga 1,Torneo Apertura,Sun,Away,L,2,3,Cusco,,,Gu-Rum Choi,3-4-1-2,4-2-3-1,,Match Report,
84,2024-04-20,15:30,Liga 1,Torneo Apertura,Sat,Home,W,1,0,U César Vallejo,,,Víctor Cedrón,4-2-3-1,3-5-2,,Match Report,
85,2024-04-28,14:30,Liga 1,Torneo Apertura,Sun,Away,W,2,1,Alianza Atlético,,,Gu-Rum Choi,3-4-3,4-2-3-1,,Match Report,
86,2024-05-03,15:00,Liga 1,Torneo Apertura,Fri,Home,W,2,0,Universitario,,,Gu-Rum Choi,3-4-3,3-1-4-2,,Match Report,
87,2024-05-10,14:30,Liga 1,Torneo Apertura,Fri,Away,D,2,2,Unión Comercio,,,Gu-Rum Choi,3-4-3,4-2-3-1,,Match Report,
88,2024-05-19,13:00,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Comerciantes Unidos,,,Gu-Rum Choi,3-4-3,4-2-3-1,,Match Report,
89,2024-05-26,15:00,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Sport Boys,,,Gu-Rum Choi,3-4-3,4-3-3,,Match Report,
90,2024-07-12,15:15,Liga 1,Torneo Clausura,Fri,Home,W,3,1,Sporting Cristal,,,Gu-Rum Choi,3-4-1-2,4-3-3,,Match Report,
91,2024-07-21,18:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,Cienciano,,,Gu-Rum Choi,3-4-1-2,3-4-1-2,Joel Alarcón,Match Report,
92,2024-07-27,15:15,Liga 1,Torneo Clausura,Sat,Home,W,2,1,CDC Santa Rosa,,,Víctor Cedrón,3-4-1-2,3-4-3,,Match Report,
93,2024-07-31,19:30,Liga 1,Torneo Clausura,Wed,Away,L,2,3,Mannucci,,,Víctor Cedrón,3-4-1-2,4-3-3,,Match Report,
94,2024-08-04,15:20,Liga 1,Torneo Clausura,Sun,Home,L,1,2,Atlético Grau,,,Víctor Cedrón,3-4-1-2,4-4-2,,Match Report,
95,2024-08-10,20:15,Liga 1,Torneo Clausura,Sat,Away,D,0,0,Alianza Lima,,,Víctor Cedrón,3-4-1-2,3-4-1-2,,Match Report,
96,2024-08-16,13:00,Liga 1,Torneo Clausura,Fri,Home,D,1,1,Melgar,,,Víctor Cedrón,3-4-3,5-4-1,,Match Report,
97,2024-08-20,13:00,Liga 1,Torneo Clausura,Tue,Away,D,1,1,UTC,,,Víctor Cedrón,3-4-3,4-4-2,,Match Report,
98,2024-08-25,13:15,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Sport Huancayo,,,Víctor Cedrón,3-4-3,4-2-3-1,,Match Report,
99,2024-09-13,15:15,Liga 1,Torneo Clausura,Fri,Away,L,0,1,Deportivo Garcilaso,,,Víctor Cedrón,3-5-2,4-4-2,Alejandro Villanueva,Match Report,
100,2024-09-17,15:15,Liga 1,Torneo Clausura,Tue,Home,L,1,2,Cusco,,,John Narvaez,3-4-3,4-2-3-1,Hibert Villegas,Match Report,
101,2024-09-22,20:00,Liga 1,Torneo Clausura,Sun,Away,D,0,0,U César Vallejo,,,John Narvaez,3-5-2,4-2-3-1,Roberto Pérez,Match Report,
102,2024-09-28,15:00,Liga 1,Torneo Clausura,Sat,Home,L,0,1,Alianza Atlético,,,Pedro Díaz,3-4-1-2,4-3-3,Daniel Ureta,Match Report,
103,2024-10-19,19:30,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Universitario,,,Víctor Cedrón,3-4-3,3-5-2,Augusto Menéndez,Match Report,
104,2024-10-23,15:15,Liga 1,Torneo Clausura,Wed,Home,W,2,0,Unión Comercio,,,Víctor Cedrón,3-4-3,4-4-2,Diego Haro,Match Report,
105,2024-10-28,15:30,Liga 1,Torneo Clausura,Mon,Away,D,0,0,Comerciantes Unidos,,,John Narvaez,3-4-3,4-2-3-1,Roberto Pérez,Match Report,
106,2024-11-01,15:00,Liga 1,Torneo Clausura,Fri,Home,W,1,0,Sport Boys,,,Víctor Cedrón,3-4-3,4-4-2,Julio Quiróz,Match Report,
