,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
16,2024-05-25,15:00,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Sporting Cristal,,,Matías Sen,4-2-3-1,4-4-2,,Match Report,
17,2024-07-13,13:00,Liga 1,Torneo Clausura,Sat,Home,L,1,2,Cienciano,,,Matías Sen,4-2-3-1,5-4-1,,Match Report,
18,2024-07-20,13:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,CDC Santa Rosa,,,Matías Sen,4-1-4-1,4-2-3-1,,Match Report,
19,2024-07-26,15:15,Liga 1,Torneo Clausura,Fri,Home,W,2,1,Mannucci,,,Matías Sen,4-1-4-1,3-4-3,,Match Report,
20,2024-07-31,13:00,Liga 1,Torneo Clausura,Wed,Away,L,0,3,Atlético Grau,,,Diego Campos,4-1-4-1,4-4-2,,Match Report,
21,2024-08-03,15:00,Liga 1,Torneo Clausura,Sat,Home,L,1,3,Alianza Lima,,,Matías Sen,4-1-4-1,3-5-2,,Match Report,
22,2024-08-15,15:15,Liga 1,Torneo Clausura,Thu,Home,D,1,1,UTC,,,Matías Sen,4-2-3-1,4-4-2,,Match Report,
23,2024-08-20,15:15,Liga 1,Torneo Clausura,Tue,Away,D,2,2,Sport Huancayo,,,Matías Sen,4-2-3-1,4-2-3-1,,Match Report,
24,2024-08-25,15:30,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Deportivo Garcilaso,,,Matías Sen,4-2-3-1,4-4-2,,Match Report,
25,2024-09-07,15:15,Liga 1,Torneo Clausura,Sat,Away,L,0,3,Melgar,,,Enmanuel Páucar,4-4-2,4-1-3-2,Julio Quiróz,Match Report,
26,2024-09-14,13:00,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Cusco,,,Matías Sen,4-2-3-1,3-4-3,Daniel Ureta,Match Report,
27,2024-09-18,15:30,Liga 1,Torneo Clausura,Wed,Home,W,2,0,U César Vallejo,,,Matías Sen,4-2-3-1,4-3-3,Fernando Legario,Match Report,
28,2024-09-23,13:00,Liga 1,Torneo Clausura,Mon,Away,L,0,1,Alianza Atlético,,,Matías Sen,4-1-3-2,4-2-3-1,Andy Carmen,Match Report,
29,2024-09-29,15:30,Liga 1,Torneo Clausura,Sun,Home,L,0,2,Universitario,,,Diego Campos,4-1-4-1,3-5-2,Kevin Ortega,Match Report,
30,2024-10-17,13:00,Liga 1,Torneo Clausura,Thu,Away,L,2,3,Unión Comercio,,,Matías Sen,4-2-3-1,4-4-1-1,Fernando Legario,Match Report,
31,2024-10-24,15:00,Liga 1,Torneo Clausura,Thu,Home,D,0,0,Sport Boys,,,Matías Sen,4-4-2,5-3-2,Julio Quiróz,Match Report,
32,2024-10-28,15:30,Liga 1,Torneo Clausura,Mon,Home,D,0,0,ADT Tarma,,,Matías Sen,4-2-3-1,3-4-3,Roberto Pérez,Match Report,
33,2024-11-03,11:00,Liga 1,Torneo Clausura,Sun,Away,L,0,3,Sporting Cristal,,,Matías Sen,4-3-3,4-2-3-1,Victor Cori,Match Report,
