,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
12,2020-09-24,15:30,Liga 1,Torneo Apertura,Thu,Home,W,1,0,Binacional,,,Mauricio Montes,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,
13,2020-09-26,18:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Sporting Cristal,,,Diego Minaya,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
14,2020-10-01,15:00,Liga 1,Torneo Apertura,Thu,Home,D,1,1,Cusco,,,Diego Minaya,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
15,2020-10-05,13:00,Liga 1,Torneo Apertura,Mon,Away,D,0,0,Melgar,,,Robert Ardiles,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
16,2020-10-09,13:00,Liga 1,Torneo Apertura,Fri,Home,D,1,1,UTC,,,Diego Minaya,4-2-3-1,4-2-3-1,Hibert Villegas,Match Report,
17,2020-10-14,15:30,Liga 1,Torneo Apertura,Wed,Away,L,1,2,U César Vallejo,,,Mauricio Montes,4-2-3-1,3-4-3,Micke Palomino,Match Report,
18,2020-10-19,11:00,Liga 1,Torneo Apertura,Mon,Home,W,3,0,Carlos Stein,,,Mauricio Montes,3-3-3-1,4-2-3-1,Luis Garay Evia,Match Report,
19,2020-10-26,15:30,Liga 1,Group Stage,Mon,Away,W,2,1,Alianza Lima,,,Mauricio Montes,3-4-3,4-3-3,Ramón Blanco,Match Report,
20,2020-10-31,18:00,Liga 1,Group Stage,Sat,Home,W,2,0,Melgar,,,Mauricio Montes,3-4-3,4-2-3-1,Eduardo Chirinos,Match Report,
21,2020-11-03,13:15,Liga 1,Group Stage,Tue,Away,L,0,1,Llacuabamba,,,Mauricio Montes,3-4-3,3-1-4-2,Alejandro Villanueva,Match Report,
22,2020-11-06,18:00,Liga 1,Group Stage,Fri,Home,D,1,1,U César Vallejo,,,Robert Ardiles,3-4-3,4-3-3,Víctor Carrillo,Match Report,
