,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
75,2022-06-19,15:20,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Alianza Lima,,,Edson Aubert,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
76,2022-06-26,13:15,Liga 1,Torneo Apertura,Sun,Away,L,0,4,U César Vallejo,,,Edson Aubert,4-4-2,3-4-3,Roberto Pérez,Match Report,
77,2022-07-02,18:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Carlos Stein,,,Edson Aubert,4-3-3,3-5-2,Edwin Ordóñez,Match Report,
78,2022-07-11,15:15,Liga 1,Torneo Clausura,Mon,Home,W,4,0,USMP,,,Edson Aubert,4-3-3,4-1-4-1,Pablo López,Match Report,
79,2022-07-17,11:00,Liga 1,Torneo Clausura,Sun,Away,L,0,1,Cantolao,,,Edson Aubert,4-3-3,4-2-3-1,Kevin Ortega,Match Report,
80,2022-07-24,18:00,Liga 1,Torneo Clausura,Sun,Home,W,2,0,Dep Municipal,,,Edson Aubert,4-2-3-1,5-3-2,Roberto Pérez,Match Report,
81,2022-07-27,17:30,Liga 1,Torneo Clausura,Wed,Away,D,1,1,Cienciano,,,Edson Aubert,4-5-1,4-4-2,Joel Alarcón,Match Report,
82,2022-07-31,15:00,Liga 1,Torneo Clausura,Sun,Away,L,0,1,ADT Tarma,,,Edson Aubert,4-4-2,4-2-4,Augusto Menéndez,Match Report,
83,2022-08-06,15:30,Liga 1,Torneo Clausura,Sat,Home,W,4,1,Ayacucho,,,Edson Aubert,4-2-3-1,4-3-3,Roberto Pérez,Match Report,
84,2022-08-13,19:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Universitario,,,Edson Aubert,4-2-3-1,4-3-3,Kevin Ortega,Match Report,
85,2022-08-21,18:00,Liga 1,Torneo Clausura,Sun,Home,W,3,0,Sport Boys,,,Edson Aubert,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
86,2022-08-28,13:00,Liga 1,Torneo Clausura,Sun,Away,L,1,3,Atlético Grau,,,Andy Polar,4-4-1-1,4-1-3-2,Kevin Ortega,Match Report,
87,2022-09-05,15:30,Liga 1,Torneo Clausura,Mon,Home,W,2,0,Alianza Atlético,,,Edson Aubert,4-2-3-1,5-3-2,Jesús Cartagena,Match Report,
88,2022-09-11,13:15,Liga 1,Torneo Clausura,Sun,Away,L,1,2,Mannucci,,,Edson Aubert,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
89,2022-09-18,15:30,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Sporting Cristal,,,Edson Aubert,4-2-3-1,4-3-3,Hibert Villegas,Match Report,
90,2022-09-29,15:30,Liga 1,Torneo Clausura,Thu,Away,L,1,2,Melgar,,,Edson Aubert,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
91,2022-10-10,15:30,Liga 1,Torneo Clausura,Mon,Away,L,0,1,Sport Huancayo,,,Edson Aubert,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
92,2022-10-15,18:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,UTC,,,Edson Aubert,4-2-3-1,4-3-3,Roberto Pérez,Match Report,
93,2022-10-20,20:15,Liga 1,Torneo Clausura,Thu,Away,L,0,2,Alianza Lima,,,Edson Aubert,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
94,2022-10-24,15:00,Liga 1,Torneo Clausura,Mon,Home,W,3,0,U César Vallejo,,,Edson Aubert,4-2-3-1,5-3-2,Diego Haro,Match Report,
95,2022-10-30,15:00,Liga 1,Torneo Clausura,Sun,Away,W,3,2,Carlos Stein,,,Edson Aubert,4-4-1-1,4-3-3,Roberto Pérez,Match Report,
96,2023-02-04,19:30,Liga 1,Torneo Apertura,Sat,Away,L,0,3,Deportivo Garcilaso,,,,,,,Match Report,Match awarded to Deportivo Garcilaso
97,2023-02-11,15:00,Liga 1,Torneo Apertura,Sat,Home,L,2,4,Atlético Grau,,,,4-2-3-1,4-3-3,Pablo López,Match Report,
98,2023-02-20,15:30,Liga 1,Torneo Apertura,Mon,Away,L,0,2,Dep Municipal,,,Jack Durán,,,Wilfredo Blas,Match Report,
99,2023-03-03,16:00,Liga 1,Torneo Apertura,Fri,Away,D,2,2,Sport Boys,,,Edson Aubert,4-2-3-1,4-3-3,Jasmani Chambi,Match Report,
100,2023-03-08,21:00,Sudamericana,First stage,Wed,Away,L,1,3,pe U César Vallejo,41,"1,409",Edson Aubert,4-2-3-1,4-2-3-1,Jose Burgos,Match Report,
101,2023-03-13,18:00,Liga 1,Torneo Apertura,Mon,Home,L,1,2,Universitario,,,Edson Aubert,4-2-3-1,5-3-2,Joel Alarcón,Match Report,
102,2023-03-19,13:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,U César Vallejo,,,Edson Aubert,4-3-3,4-2-3-1,David Huaman,Match Report,
103,2023-04-02,18:00,Liga 1,Torneo Apertura,Sun,Home,D,1,1,UTC,,,Edson Aubert,4-3-3,3-5-2,Augusto Menéndez,Match Report,
104,2023-04-07,15:30,Liga 1,Torneo Apertura,Fri,Away,L,1,2,Cusco,,,Edson Aubert,4-1-4-1,4-2-3-1,Jesús Cartagena,Match Report,
105,2023-04-16,18:00,Liga 1,Torneo Apertura,Sun,Home,W,5,3,Sport Huancayo,,,Andy Polar,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
106,2023-04-22,18:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Cienciano,,,Edson Aubert,4-2-3-1,4-1-4-1,David Huaman,Match Report,
107,2023-04-30,13:00,Liga 1,Torneo Apertura,Sun,Home,W,4,2,Alianza Atlético,,,Edson Aubert,4-2-3-1,4-3-3,Daniel Ureta,Match Report,
108,2023-05-05,13:00,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Cantolao,,,Edson Aubert,4-2-3-1,4-2-3-1,Pablo López,Match Report,
109,2023-05-12,18:00,Liga 1,Torneo Apertura,Fri,Home,W,1,0,ADT Tarma,,,Edson Aubert,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
110,2023-05-17,19:00,Liga 1,Torneo Apertura,Wed,Home,L,0,1,Sporting Cristal,,,Edson Aubert,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
111,2023-05-22,20:00,Liga 1,Torneo Apertura,Mon,Home,W,5,0,Unión Comercio,,,Edson Aubert,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
112,2023-05-28,20:30,Liga 1,Torneo Apertura,Sun,Away,L,1,6,Alianza Lima,,,Edson Aubert,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
113,2023-06-03,18:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Mannucci,,,Edson Aubert,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
114,2023-06-10,18:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Melgar,,,Edson Aubert,4-3-3,3-4-1-2,Michael Espinoza,Match Report,
115,2023-07-01,15:30,Liga 1,Torneo Clausura,Sat,Away,L,0,2,ADT Tarma,,,Andy Polar,4-3-3,4-2-3-1,Jesús Cartagena,Match Report,
116,2023-07-09,19:30,Liga 1,Torneo Clausura,Sun,Home,L,1,5,Deportivo Garcilaso,,,Edson Aubert,4-2-3-1,3-4-3,Roberto Pérez,Match Report,
117,2023-07-16,13:00,Liga 1,Torneo Clausura,Sun,Away,L,1,2,Atlético Grau,,,Edson Aubert,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
118,2023-07-24,13:00,Liga 1,Torneo Clausura,Mon,Home,W,4,1,Dep Municipal,,,Anthony Rosell,4-2-3-1,4-4-2,Kevin Ortega,Match Report,
119,2023-07-27,15:00,Liga 1,Torneo Clausura,Thu,Away,L,0,5,Sporting Cristal,,,Anthony Rosell,4-2-3-1,4-3-3,Sebastián Lozano,Match Report,
120,2023-08-05,15:15,Liga 1,Torneo Clausura,Sat,Home,W,4,0,Sport Boys,,,Anthony Rosell,4-2-3-1,3-5-1-1,Augusto Menéndez,Match Report,
121,2023-08-12,19:00,Liga 1,Torneo Clausura,Sat,Away,L,0,1,Universitario,,,Anthony Rosell,4-1-4-1,3-5-2,Roberto Pérez,Match Report,
