,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
83,2023-06-10,13:00,Liga 1,Torneo Apertura,Sat,Away,D,2,2,Unión Comercio,,,Rodrigo Salinas,4-2-3-1,4-1-4-1,Joel Alarcón,Match Report,
84,2023-06-23,20:00,Liga 1,Torneo Clausura,Fri,Away,L,0,2,Alianza Lima,,,Rodrigo Salinas,4-3-1-2,4-3-2-1,Roberto Pérez,Match Report,
85,2023-07-02,15:30,Liga 1,Torneo Clausura,Sun,Home,L,0,2,Mannucci,,,Rodrigo Salinas,4-3-3,4-4-2,Fernando Legario,Match Report,
86,2023-07-07,15:00,Liga 1,Torneo Clausura,Fri,Away,L,0,3,Melgar,,,Rodrigo Salinas,4-2-3-1,4-3-3,Kevin Ortega,Match Report,
87,2023-07-16,13:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Binacional,,,Rodrigo Salinas,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
88,2023-07-23,15:30,Liga 1,Torneo Clausura,Sun,Away,L,0,1,ADT Tarma,,,Rodrigo Salinas,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
89,2023-07-30,13:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Deportivo Garcilaso,,,Rodrigo Salinas,4-4-2,3-4-3,Alejandro Villanueva,Match Report,
90,2023-08-14,13:00,Liga 1,Torneo Clausura,Mon,Away,W,0,0,Dep Municipal,,,,,,,Match Report,Match awarded to Atlético Grau
91,2023-08-17,15:15,Liga 1,Torneo Clausura,Thu,Home,L,2,3,Sporting Cristal,,,Manuel Tejada,4-4-2,4-1-4-1,Roberto Pérez,Match Report,
92,2023-08-21,13:00,Liga 1,Torneo Clausura,Mon,Away,D,1,1,Sport Boys,,,Manuel Tejada,4-2-2-2,4-3-3,Edwin Ordóñez,Match Report,
93,2023-08-27,13:00,Liga 1,Torneo Clausura,Sun,Home,D,2,2,Universitario,,,Manuel Tejada,4-4-2,3-5-2,Diego Haro,Match Report,
94,2023-09-04,15:15,Liga 1,Torneo Clausura,Mon,Away,L,0,5,U César Vallejo,,,Manuel Tejada,4-4-2,4-2-3-1,Michael Espinoza,Match Report,
95,2023-09-15,13:00,Liga 1,Torneo Clausura,Fri,Home,W,4,2,UTC,,,Rodrigo Salinas,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
96,2023-09-21,15:20,Liga 1,Torneo Clausura,Thu,Away,D,0,0,Cusco,,,Manuel Tejada,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
97,2023-09-25,15:00,Liga 1,Torneo Clausura,Mon,Home,D,0,0,Sport Huancayo,,,Manuel Tejada,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
