,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
97,2023-10-29,15:00,Liga 1,Torneo Clausura,Sun,Away,L,0,3,Sporting Cristal,,,Néstor Adrián Fernández,4-3-3,4-4-2,Fernando Legario,Match Report,
98,2024-01-28,14:30,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Atlético Grau,,,Néstor Adrián Fernández,5-4-1,4-2-3-1,,Match Report,
99,2024-02-04,14:00,Liga 1,Torneo Apertura,Sun,Home,L,0,2,Alianza Lima,,,Néstor Adrián Fernández,5-4-1,3-5-2,,Match Report,
100,2024-02-10,15:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Melgar,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
101,2024-02-16,14:30,Liga 1,Torneo Apertura,Fri,Home,W,2,0,UTC,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
102,2024-02-23,15:00,Liga 1,Torneo Apertura,Fri,Away,L,0,4,Sport Huancayo,,,Néstor Adrián Fernández,4-2-3-1,4-1-4-1,,Match Report,
103,2024-02-29,14:15,Liga 1,Torneo Apertura,Thu,Home,W,3,0,Deportivo Garcilaso,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
104,2024-03-07,15:00,Liga 1,Torneo Apertura,Thu,Away,L,0,2,Cusco,,,Néstor Adrián Fernández,5-4-1,4-4-1-1,,Match Report,
105,2024-03-14,13:30,Liga 1,Torneo Apertura,Thu,Home,D,1,1,U César Vallejo,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
106,2024-03-31,15:00,Liga 1,Torneo Apertura,Sun,Away,D,0,0,Sport Boys,,,Néstor Adrián Fernández,4-2-3-1,5-3-2,,Match Report,
107,2024-04-05,20:30,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Universitario,,,Néstor Adrián Fernández,4-2-3-1,3-5-2,,Match Report,
108,2024-04-13,14:30,Liga 1,Torneo Apertura,Sat,Home,W,2,0,Unión Comercio,,,Néstor Adrián Fernández,4-2-3-1,4-1-4-1,,Match Report,
109,2024-04-23,15:00,Liga 1,Torneo Apertura,Tue,Away,D,0,0,Comerciantes Unidos,,,Diego Melián,4-2-3-1,4-2-3-1,,Match Report,
110,2024-04-28,14:30,Liga 1,Torneo Apertura,Sun,Home,L,1,2,ADT Tarma,,,Néstor Adrián Fernández,4-2-3-1,3-4-3,,Match Report,
111,2024-05-05,11:00,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Sporting Cristal,,,Néstor Adrián Fernández,4-3-3,4-3-3,,Match Report,
112,2024-05-13,14:30,Liga 1,Torneo Apertura,Mon,Home,L,0,1,Cienciano,,,Néstor Adrián Fernández,4-4-2,4-2-3-1,,Match Report,
113,2024-05-19,15:30,Liga 1,Torneo Apertura,Sun,Away,L,0,2,CDC Santa Rosa,,,Néstor Adrián Fernández,4-5-1,3-4-3,,Match Report,
114,2024-05-26,14:30,Liga 1,Torneo Apertura,Sun,Home,D,0,0,Mannucci,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
115,2024-07-14,13:00,Liga 1,Torneo Clausura,Sun,Home,D,0,0,Atlético Grau,,,Diego Melián,4-2-3-1,4-4-2,,Match Report,
116,2024-07-20,19:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Alianza Lima,,,Diego Melián,3-4-3,3-1-4-2,,Match Report,
117,2024-07-25,13:00,Liga 1,Torneo Clausura,Thu,Home,W,3,1,Melgar,,,Néstor Adrián Fernández,4-3-3,4-2-3-1,,Match Report,
118,2024-08-01,15:00,Liga 1,Torneo Clausura,Thu,Away,D,1,1,UTC,,,Néstor Adrián Fernández,4-1-4-1,4-2-3-1,,Match Report,
119,2024-08-05,12:30,Liga 1,Torneo Clausura,Mon,Home,D,1,1,Sport Huancayo,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
120,2024-08-10,15:00,Liga 1,Torneo Clausura,Sat,Away,W,1,0,Deportivo Garcilaso,,,Diego Melián,4-2-3-1,4-3-3,,Match Report,
121,2024-08-15,13:00,Liga 1,Torneo Clausura,Thu,Home,D,1,1,Cusco,,,Diego Melián,4-2-3-1,4-2-3-1,,Match Report,
122,2024-08-19,15:30,Liga 1,Torneo Clausura,Mon,Away,D,0,0,U César Vallejo,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,,Match Report,
123,2024-08-24,12:50,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Sport Boys,,,Néstor Adrián Fernández,4-2-3-1,4-3-3,,Match Report,
124,2024-09-15,13:00,Liga 1,Torneo Clausura,Sun,Home,L,0,3,Universitario,,,Néstor Adrián Fernández,4-2-3-1,3-5-2,Edwin Ordóñez,Match Report,
125,2024-09-19,13:00,Liga 1,Torneo Clausura,Thu,Away,W,2,1,Unión Comercio,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
126,2024-09-23,13:00,Liga 1,Torneo Clausura,Mon,Home,W,1,0,Comerciantes Unidos,,,Néstor Adrián Fernández,4-2-3-1,4-1-3-2,Andy Carmen,Match Report,
127,2024-09-28,15:00,Liga 1,Torneo Clausura,Sat,Away,W,1,0,ADT Tarma,,,Néstor Adrián Fernández,4-3-3,3-4-1-2,Daniel Ureta,Match Report,
128,2024-10-19,12:45,Liga 1,Torneo Clausura,Sat,Home,W,1,0,Sporting Cristal,,,Néstor Adrián Fernández,4-3-3,3-1-4-2,Joel Alarcón,Match Report,
129,2024-10-23,17:30,Liga 1,Torneo Clausura,Wed,Away,L,0,3,Cienciano,,,Néstor Adrián Fernández,4-3-3,4-2-3-1,Micke Palomino,Match Report,
130,2024-10-28,13:00,Liga 1,Torneo Clausura,Mon,Home,W,1,0,CDC Santa Rosa,,,Néstor Adrián Fernández,4-1-3-2,3-5-2,Daniel Ureta,Match Report,
131,2024-11-02,15:15,Liga 1,Torneo Clausura,Sat,Away,D,2,2,Mannucci,,,Horacio Benincasa,5-4-1,4-3-3,Jesús Cartagena,Match Report,
