,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Captain,Formation,Opp Formation,Referee,Team,DateTime
147,2024-07-21,18:00,Liga 1,Torneo Clausura,6,Home,L,0,1,ADT Tarma,Claudio Torrejón,3-4-1-2,3-4-1-2,Joel Alarcón,Cienciano,2024-07-21 18:00:00
148,2024-07-27,13:00,Liga 1,Torneo Clausura,5,Away,L,1,5,Sporting Cristal,Claudio Torrejón,5-3-2,4-3-3,,Cienciano,2024-07-27 13:00:00
149,2024-07-30,15:00,Liga 1,Torneo Clausura,1,Away,L,0,2,Sport Boys,Claudio Torrejón,5-3-2,4-4-2,,Cienciano,2024-07-30 15:00:00
150,2024-08-03,18:00,Liga 1,Torneo Clausura,5,Home,D,0,0,CDC Santa Rosa,Claudio Torrejón,5-3-2,4-2-3-1,,Cienciano,2024-08-03 18:00:00
151,2024-08-11,15:00,Liga 1,Torneo Clausura,6,Away,W,2,1,Mannucci,Claudio Torrejón,5-3-2,3-4-3,,Cienciano,2024-08-11 15:00:00
152,2024-08-17,15:15,Liga 1,Torneo Clausura,5,Home,W,1,0,Atlético Grau,Claudio Torrejón,5-3-2,4-4-2,,Cienciano,2024-08-17 15:15:00
153,2024-08-20,20:30,Liga 1,Torneo Clausura,1,Away,L,0,3,Alianza Lima,Claudio Torrejón,5-3-2,4-3-3,,Cienciano,2024-08-20 20:30:00
154,2024-08-25,20:00,Liga 1,Torneo Clausura,6,Home,W,3,1,Melgar,Claudio Torrejón,4-3-3,4-2-3-1,,Cienciano,2024-08-25 20:00:00
155,2024-09-13,13:00,Liga 1,Torneo Clausura,4,Away,W,2,1,UTC,Claudio Torrejón,4-2-3-1,4-2-3-1,Augusto Méndez,Cienciano,2024-09-13 13:00:00
156,2024-09-18,18:30,Liga 1,Torneo Clausura,2,Home,W,3,1,Sport Huancayo,Claudio Torrejón,4-2-3-1,4-4-2,Jesús Cartagena,Cienciano,2024-09-18 18:30:00
157,2024-09-21,18:30,Liga 1,Torneo Clausura,5,Away,L,0,1,Deportivo Garcilaso,Claudio Torrejón,4-2-3-1,4-4-2,Daniel Ureta,Cienciano,2024-09-21 18:30:00
158,2024-09-28,17:30,Liga 1,Torneo Clausura,5,Home,L,1,2,Cusco,Claudio Torrejón,4-2-3-1,4-2-3-1,Michael Espinoza,Cienciano,2024-09-28 17:30:00
159,2024-10-18,17:30,Liga 1,Torneo Clausura,4,Away,D,2,2,U César Vallejo,Claudio Torrejón,4-2-3-1,4-2-3-1,Diego Haro,Cienciano,2024-10-18 17:30:00
160,2024-10-23,17:30,Liga 1,Torneo Clausura,2,Home,W,3,0,Alianza Atlético,Claudio Torrejón,4-2-3-1,4-3-3,Micke Palomino,Cienciano,2024-10-23 17:30:00
161,2024-10-27,18:00,Liga 1,Torneo Clausura,6,Away,L,1,3,Universitario,Alfredo Ramúa,5-3-2,3-5-2,Fernando Legario,Cienciano,2024-10-27 18:00:00
162,2024-10-31,17:30,Liga 1,Torneo Clausura,3,Home,W,7,0,Unión Comercio,Claudio Torrejón,4-4-2,4-4-2,Jordy Espinoza,Cienciano,2024-10-31 17:30:00
163,2024-01-29,15:00,Liga 1,Torneo Apertura,0,Home,W,2,1,Unión Comercio,Rudy Palomino,4-2-3-1,5-4-1,,CDC Santa Rosa,2024-01-29 15:00:00
164,2024-02-05,15:00,Liga 1,Torneo Apertura,0,Away,L,2,3,Comerciantes Unidos,Rudy Palomino,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-02-05 15:00:00
165,2024-02-11,15:00,Liga 1,Torneo Apertura,6,Home,W,2,0,ADT Tarma,Rudy Palomino,4-2-3-1,3-2-4-1,,CDC Santa Rosa,2024-02-11 15:00:00
166,2024-02-15,20:00,Liga 1,Torneo Apertura,3,Away,L,1,4,Sporting Cristal,Rudy Palomino,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-02-15 20:00:00
167,2024-02-26,15:00,Liga 1,Torneo Apertura,0,Home,L,1,2,Cienciano,Rudy Palomino,4-2-3-1,4-4-1-1,,CDC Santa Rosa,2024-02-26 15:00:00
168,2024-03-03,15:00,Liga 1,Torneo Apertura,6,Home,W,2,0,Sport Boys,Rudy Palomino,4-2-3-1,5-4-1,,CDC Santa Rosa,2024-03-03 15:00:00
169,2024-03-09,16:00,Liga 1,Torneo Apertura,5,Away,L,1,2,Mannucci,Rudy Palomino,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-03-09 16:00:00
170,2024-03-15,15:30,Liga 1,Torneo Apertura,4,Home,L,0,1,Atlético Grau,Rudy Palomino,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-03-15 15:30:00
171,2024-03-28,20:00,Liga 1,Torneo Apertura,3,Away,L,0,3,Alianza Lima,Michael Sotillo,4-2-3-1,3-5-2,,CDC Santa Rosa,2024-03-28 20:00:00
172,2024-04-06,13:00,Liga 1,Torneo Apertura,5,Home,D,2,2,Melgar,Abel Casquete,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-04-06 13:00:00
173,2024-04-15,15:00,Liga 1,Torneo Apertura,0,Away,L,0,2,UTC,Ederson Mogollón,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-04-15 15:00:00
174,2024-04-20,13:00,Liga 1,Torneo Apertura,5,Home,W,6,0,Sport Huancayo,Michael Sotillo,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-04-20 13:00:00
175,2024-04-28,20:00,Liga 1,Torneo Apertura,6,Away,D,1,1,Deportivo Garcilaso,Daniel Ferreyra,3-4-1-2,4-2-3-1,,CDC Santa Rosa,2024-04-28 20:00:00
176,2024-05-04,13:00,Liga 1,Torneo Apertura,5,Home,W,2,0,Cusco,Daniel Ferreyra,3-4-3,4-4-2,,CDC Santa Rosa,2024-05-04 13:00:00
177,2024-05-11,21:00,Liga 1,Torneo Apertura,5,Away,D,1,1,U César Vallejo,Daniel Ferreyra,3-4-3,4-3-3,,CDC Santa Rosa,2024-05-11 21:00:00
178,2024-05-19,15:30,Liga 1,Torneo Apertura,6,Home,W,2,0,Alianza Atlético,Daniel Ferreyra,3-4-3,4-5-1,,CDC Santa Rosa,2024-05-19 15:30:00
179,2024-05-25,15:00,Liga 1,Torneo Apertura,5,Away,L,0,4,Universitario,Daniel Ferreyra,5-3-2,3-1-4-2,,CDC Santa Rosa,2024-05-25 15:00:00
180,2024-07-12,13:00,Liga 1,Torneo Clausura,4,Away,W,2,1,Unión Comercio,Abel Casquete,4-2-3-1,4-1-4-1,,CDC Santa Rosa,2024-07-12 13:00:00
181,2024-07-20,13:00,Liga 1,Torneo Clausura,5,Home,W,2,0,Comerciantes Unidos,Abel Casquete,4-2-3-1,4-1-4-1,,CDC Santa Rosa,2024-07-20 13:00:00
182,2024-07-27,15:15,Liga 1,Torneo Clausura,5,Away,L,1,2,ADT Tarma,Carlos López,3-4-3,3-4-1-2,,CDC Santa Rosa,2024-07-27 15:15:00
183,2024-07-31,15:15,Liga 1,Torneo Clausura,2,Home,D,3,3,Sporting Cristal,Carlos López,4-2-3-1,4-3-3,,CDC Santa Rosa,2024-07-31 15:15:00
184,2024-08-03,18:00,Liga 1,Torneo Clausura,5,Away,D,0,0,Cienciano,Carlos López,4-2-3-1,5-3-2,,CDC Santa Rosa,2024-08-03 18:00:00
185,2024-08-10,15:00,Liga 1,Torneo Clausura,5,Away,L,1,2,Sport Boys,Carlos López,3-4-3,4-3-1-2,,CDC Santa Rosa,2024-08-10 15:00:00
186,2024-08-18,15:00,Liga 1,Torneo Clausura,6,Home,D,1,1,Mannucci,Carlos López,4-3-3,3-4-3,,CDC Santa Rosa,2024-08-18 15:00:00
187,2024-08-21,13:00,Liga 1,Torneo Clausura,2,Away,D,1,1,Atlético Grau,Carlos López,4-3-3,4-4-2,,CDC Santa Rosa,2024-08-21 13:00:00
188,2024-08-24,15:20,Liga 1,Torneo Clausura,5,Home,L,0,1,Alianza Lima,Carlos López,4-3-3,4-3-3,,CDC Santa Rosa,2024-08-24 15:20:00
189,2024-09-15,15:15,Liga 1,Torneo Clausura,6,Away,L,0,2,Melgar,Carlos López,4-3-3,4-2-3-1,,CDC Santa Rosa,2024-09-15 15:15:00
190,2024-09-19,15:15,Liga 1,Torneo Clausura,3,Home,D,1,1,UTC,Carlos López,5-3-2,4-2-3-1,,CDC Santa Rosa,2024-09-19 15:15:00
191,2024-09-23,17:30,Liga 1,Torneo Clausura,0,Away,L,1,3,Sport Huancayo,Carlos López,5-3-2,4-1-4-1,,CDC Santa Rosa,2024-09-23 17:30:00
192,2024-09-29,13:15,Liga 1,Torneo Clausura,6,Home,W,1,0,Deportivo Garcilaso,Michael Sotillo,4-2-3-1,4-4-2,,CDC Santa Rosa,2024-09-29 13:15:00
193,2024-10-17,15:15,Liga 1,Torneo Clausura,3,Away,L,1,2,Cusco,Michael Sotillo,5-3-2,4-2-3-1,,CDC Santa Rosa,2024-10-17 15:15:00
194,2024-10-22,15:15,Liga 1,Torneo Clausura,1,Home,W,2,1,U César Vallejo,Michael Sotillo,4-2-3-1,4-2-3-1,,CDC Santa Rosa,2024-10-22 15:15:00
195,2024-10-28,13:00,Liga 1,Torneo Clausura,0,Away,L,0,1,Alianza Atlético,Michael Sotillo,3-5-2,4-1-3-2,,CDC Santa Rosa,2024-10-28 13:00:00
196,2024-11-03,15:00,Liga 1,Torneo Clausura,6,Home,D,0,0,Universitario,Michael Sotillo,3-4-3,3-5-2,,CDC Santa Rosa,2024-11-03 15:00:00
197,2020-01-31,20:30,Liga 1,Torneo Apertura,4,Away,W,3,2,Alianza Lima,Diego Hernán Morales,4-4-2,3-4-3,Augusto Menéndez,Alianza Universidad,2020-01-31 20:30:00
198,2020-02-09,15:00,Liga 1,Torneo Apertura,6,Home,W,1,0,Carlos Stein,,4-2-3-1,5-3-2,David Huaman,Alianza Universidad,2020-02-09 15:00:00
199,2020-02-16,11:00,Liga 1,Torneo Apertura,6,Away,W,2,1,USMP,,4-2-3-1,4-3-3,Jesús Cartagena,Alianza Universidad,2020-02-16 11:00:00
200,2020-02-24,20:00,Liga 1,Torneo Apertura,0,Home,W,1,0,Cienciano,,4-3-3,4-4-2,Michael Espinoza,Alianza Universidad,2020-02-24 20:00:00
201,2020-02-29,20:00,Liga 1,Torneo Apertura,5,Home,W,3,0,Llacuabamba,,,,Fernando Legario,Alianza Universidad,2020-02-29 20:00:00
202,2020-03-09,15:00,Liga 1,Torneo Apertura,0,Away,D,1,1,Ayacucho,Diego Hernán Morales,4-4-2,4-2-3-1,Joel Alarcón,Alianza Universidad,2020-03-09 15:00:00
203,2020-08-19,13:15,Liga 1,Torneo Apertura,2,Home,L,0,1,Mannucci,Diego Hernán Morales,4-4-2,4-2-3-1,Víctor Carrillo,Alianza Universidad,2020-08-19 13:15:00
