DateTime,Day,Time,Round,Home Team,Away Team,GF,GA,Formation,Opp Formation,Result,HGS,AGS,HGC,AGC,MW,HTP,ATP,HUS,AUS,HLS,ALS,1_RHT,2_RHT,3_RHT,4_RHT,5_RHT,1_RAT,2_RAT,3_RAT,4_RAT,5_RAT,HGD,AGD,PD,HGDForm,AGDForm,HTPForm,ATPForm,PDForm
2023-06-11 18:00:00,6,18:00,Torneo Apertura,Sport Huancayo,Universitario,1,0,4-1-4-1,3-4-1-2,1,29.0,29.0,25.0,13.0,20.0,24.0,34.0,0.0,1.0,2.0,0.0,L,L,W,W,W,W,L,W,L,W,4.0,16.0,-10.0,0.2,0.8,1.2,1.7,-0.5
2023-06-22 15:00:00,3,15:00,Torneo Clausura,Cantolao,Sporting Cristal,0,2,4-4-2,3-4-3,0,7.0,33.0,29.0,18.0,21.0,9.0,35.0,0.0,8.0,1.0,0.0,L,D,D,D,W,D,W,W,W,W,-22.0,15.0,-26.0,-1.0476190476190477,0.7142857142857143,0.42857142857142855,1.6666666666666667,-1.2380952380952381
2023-06-22 18:00:00,3,18:00,Torneo Clausura,Melgar,ADT Tarma,4,0,3-4-1-2,4-2-3-1,1,24.0,23.0,22.0,23.0,21.0,25.0,21.0,4.0,2.0,0.0,0.0,W,D,W,W,L,D,W,L,D,L,2.0,0.0,4.0,0.09523809523809523,0.0,1.1904761904761905,1.0,0.19047619047619047
2023-06-22 19:00:00,3,19:00,Torneo Clausura,Cienciano,Universitario,1,1,4-2-3-1,3-5-2,0,23.0,29.0,28.0,14.0,21.0,24.0,34.0,0.0,0.0,2.0,1.0,L,L,W,L,D,L,W,L,W,L,-5.0,15.0,-10.0,-0.23809523809523808,0.7142857142857143,1.1428571428571428,1.619047619047619,-0.4761904761904763
2023-06-23 20:00:00,4,20:00,Torneo Clausura,Alianza Lima,Atlético Grau,2,0,4-3-2-1,4-3-1-2,1,37.0,31.0,16.0,21.0,21.0,42.0,23.0,1.0,2.0,0.0,0.0,W,L,W,L,W,D,W,L,W,L,21.0,10.0,19.0,1.0,0.47619047619047616,2.0,1.0952380952380953,0.9047619047619047
2023-06-24 15:30:00,5,15:30,Torneo Clausura,Sport Huancayo,U César Vallejo,2,0,4-3-3,4-2-3-1,1,30.0,17.0,25.0,20.0,22.0,27.0,17.0,1.0,0.0,0.0,1.0,W,L,L,W,W,L,W,D,L,D,5.0,-3.0,10.0,0.22727272727272727,-0.13636363636363635,1.2272727272727273,0.7727272727272727,0.4545454545454546
2023-06-24 20:00:00,5,20:00,Torneo Clausura,Mannucci,Deportivo Garcilaso,0,1,4-4-2,4-2-3-1,0,10.0,32.0,16.0,27.0,21.0,18.0,25.0,1.0,0.0,0.0,1.0,D,L,L,L,W,L,D,D,W,W,-6.0,5.0,-7.0,-0.2857142857142857,0.23809523809523808,0.8571428571428571,1.1904761904761905,-0.33333333333333337
2023-06-25 13:00:00,6,13:00,Torneo Clausura,Alianza Atlético,Sport Boys,1,2,4-2-3-1,4-2-3-1,0,32.0,13.0,33.0,26.0,21.0,23.0,18.0,1.0,2.0,0.0,0.0,D,L,W,L,W,W,W,L,W,D,-1.0,-13.0,5.0,-0.047619047619047616,-0.6190476190476191,1.0952380952380953,0.8571428571428571,0.23809523809523825
2023-06-26 15:30:00,0,15:30,Torneo Clausura,Cusco,UTC,2,1,4-2-3-1,4-2-3-1,1,24.0,16.0,22.0,22.0,22.0,32.0,21.0,1.0,0.0,0.0,1.0,W,L,W,L,W,L,W,L,W,L,2.0,-6.0,11.0,0.09090909090909091,-0.2727272727272727,1.4545454545454546,0.9545454545454546,0.5
2023-06-30 15:30:00,4,15:30,Torneo Clausura,UTC,Sport Huancayo,0,0,4-3-1-2,4-2-3-1,0,17.0,32.0,24.0,25.0,23.0,21.0,30.0,0.0,2.0,2.0,0.0,L,L,W,L,W,W,W,L,L,W,-7.0,7.0,-9.0,-0.30434782608695654,0.30434782608695654,0.9130434782608695,1.3043478260869565,-0.39130434782608703
2023-07-01 15:30:00,5,15:30,Torneo Clausura,ADT Tarma,Binacional,2,0,4-2-3-1,4-3-3,1,23.0,28.0,27.0,34.0,22.0,21.0,18.0,0.0,0.0,1.0,1.0,L,D,W,L,D,L,W,L,W,L,-4.0,-6.0,3.0,-0.18181818181818182,-0.2727272727272727,0.9545454545454546,0.8181818181818182,0.13636363636363635
2023-07-01 18:00:00,5,18:00,Torneo Clausura,Deportivo Garcilaso,Melgar,2,2,3-4-3,5-3-2,0,33.0,28.0,27.0,22.0,22.0,28.0,28.0,1.0,5.0,0.0,0.0,W,L,D,D,W,W,W,D,W,W,6.0,6.0,0.0,0.2727272727272727,0.2727272727272727,1.2727272727272727,1.2727272727272727,0.0
2023-07-01 20:30:00,5,20:30,Torneo Clausura,Dep Municipal,Alianza Lima,0,1,4-4-2,4-3-3,0,15.0,39.0,17.0,16.0,22.0,17.0,45.0,1.0,2.0,0.0,0.0,W,L,L,L,L,W,W,L,W,L,-2.0,23.0,-28.0,-0.09090909090909091,1.0454545454545454,0.7727272727272727,2.0454545454545454,-1.2727272727272727
2023-07-02 13:00:00,6,13:00,Torneo Clausura,Sporting Cristal,Unión Comercio,3,0,4-3-3,4-3-3,1,35.0,21.0,18.0,32.0,22.0,38.0,16.0,9.0,3.0,0.0,0.0,W,D,W,W,W,D,D,W,L,L,17.0,-11.0,22.0,0.7727272727272727,-0.5,1.7272727272727273,0.7272727272727273,1.0
2023-07-02 15:30:00,6,15:30,Torneo Clausura,Atlético Grau,Mannucci,0,2,4-3-3,4-4-2,0,31.0,10.0,23.0,17.0,22.0,23.0,18.0,0.0,0.0,1.0,1.0,L,D,W,L,W,L,D,L,L,L,8.0,-7.0,5.0,0.36363636363636365,-0.3181818181818182,1.0454545454545454,0.8181818181818182,0.22727272727272718
